HHID,TRIPDIST,TRIPSPD,TRIPDUR
107200,5.736923077,21.49846154,785.6153846
107202,2.446111111,16.12166667,495.6666667
107206,7.029487179,27.39,843.1538462
107209,2.662121212,20.66121212,409.6551724
107210,5.098333333,24.65208333,711
107211,3.949230769,18.87,684.4545455
107215,2.925833333,18.2525,589.9090909
107216,12.03375,29.28125,1207.090909
107222,4.229655172,19.5762069,768.5789474
107225,1.29,7.7225,676.25
107227,4.7288,21.2908,609.7083333
107228,6.162033898,24.48525424,795.2631579
107236,9.687,29.403,1067.777778
107240,3.671212121,22.06212121,542.125
107254,4.455229358,25.79522936,540.3962264
107266,7.715,27.098,1072.1
107276,3.536206897,20.98068966,577.6666667
107290,1.841764706,18.67470588,356.9230769
107293,9.641666667,36.45083333,800.2083333
107299,3.155818182,19.13836364,499.2264151
107309,6.679411765,26.77588235,845.4242424
107332,4.593953488,18.79046512,660.5813953
107336,9.3425,15.6425,2159
107340,0.211666667,7.24,102.75
107342,5.620344828,28.86862069,622.25
107364,3.452580645,21.42870968,567.0322581
107367,3.0356,20.1144,527.0909091
107372,6.649166667,20.94194444,758.7272727
107395,3.957938144,21.08536082,587.5340909
107398,0.9,15.80947368,206.6875
107400,24.34315789,31.72447368,2014.612903
107410,10.13041667,33.32416667,921.5652174
107418,11.04175,28.43225,1050.055556
107421,4.05627907,23.84046512,562.4146341
107426,4.276842105,18.09105263,745.5263158
107449,12.45432432,27.09891892,1379.088235
107452,1.025,11.1605,325.7692308
107456,15.03175,26.83275,1492.189189
107466,9.675588235,27.96352941,1020.823529
107472,5.176,23.55,759.75
107498,4.137333333,21.71866667,646.2666667
107510,1.145714286,15.38904762,270.1428571
107521,5.979032258,23.58483871,804.7419355
107526,4.218888889,22.47222222,689
107527,6.432647059,25.82338235,782.7313433
107530,14.80764706,35.63411765,1398.75
107534,4.448163265,19.54367347,747.8958333
107536,3.722727273,21.94424242,522.5333333
107541,3.279393939,14.39060606,633.2580645
107552,4.837894737,22.05315789,673.7894737
107554,5.523333333,23.18785714,763.1219512
107565,6.755714286,27.32057143,828.7941176
107567,7.125,25.434,854.8
107617,8.113571429,26.23857143,982.0833333
107623,3.93,24.34115385,549.75
107625,7.9516,28.5036,744.7826087
107626,8.813333333,22.36625,1096.913043
107655,4.285666667,31.372,519.9666667
107663,8.442051282,32.57820513,894.3684211
107665,10.67352941,30.13117647,1144.875
107684,2.5825,16.275,527
107687,6.448,34.56,664.6
107691,10.24210526,27.62473684,1279.666667
107698,6.460714286,23.63928571,796.5833333
107699,23.29846154,29.67384615,1685
107700,2.922142857,18.19714286,574.3214286
107701,1.537,9.364,620.7
107710,3.353,12.81666667,1048.2
107714,3.09,22.57285714,537
107719,3.413125,18.28875,638.1694915
107720,4.845714286,21.80333333,614.7
107723,5.661666667,25.77416667,757.8333333
107728,3.962368421,22.63289474,576.3611111
107733,4.921403509,26.78929825,560.1818182
107737,10.348125,28.10875,1043.785714
107738,3.427333333,21.27666667,537.2666667
107746,1.680277778,18.04055556,303.6060606
107801,4.243518519,22.91981481,693.3846154
107811,3.823589744,24.01923077,510.0285714
107812,10.496875,26.03125,1134.133333
107867,11.1045,31.047,1227.55
107872,3.371818182,18.26636364,629.2
107876,9.619852941,25.37661765,1010.723077
107897,8.18278481,24.47265823,892.5657895
107901,2.433529412,15.95235294,498.0882353
107909,11.03166667,27.165,1221
107915,17.82733333,40.24866667,1263.142857
107920,6.629285714,22.33214286,693.4615385
107923,7.360508475,27.65067797,818.8983051
107933,3.675714286,17.97428571,580.3225806
107952,3.819142857,24.78742857,506.6969697
107955,13.4408,36.5764,1098.416667
107956,4.248421053,27.32,470.3157895
107958,1.719285714,11.59428571,669.5
107965,9.538717949,28.27846154,946.0666667
107968,5.853157895,24.13578947,688.2352941
107973,14.81,37.0512,1344.44
107975,2.102258065,15.88935484,467.9
107976,5.57,22.40894737,880.8888889
107977,3.440886076,19.80607595,486.1710526
107980,2.4184,20.5736,407.2
107986,10.38419355,27.4916129,1131.827586
107988,0.322,12.428,93.75
107989,2.693333333,15.07777778,676.125
107996,7.823673469,26.22061224,979.7659574
107998,3.938392857,18.0325,758.0576923
108010,1.054,13.5525,272.6470588
108016,2.890769231,20.67653846,460.0434783
108037,4.214193548,22.58096774,550.6129032
108070,1.212142857,9.844285714,381.5384615
108081,8.592954545,27.72636364,839.9069767
108088,4.018648649,20.45162162,603.0285714
108090,6.483,27.086,779.8
108098,9.023043478,30.10913043,1052.956522
108109,3.686785714,19.26035714,648.6153846
108125,8.625882353,29.51117647,794.625
108133,0.568,7.587,247.25
108137,12.80461538,31.08589744,1145.972973
108138,9.118333333,28.97777778,837.4444444
108140,6.411702128,19.48148936,1079.543478
108150,4.665915493,20.76971831,679.3478261
108152,8.308461538,24.23846154,1014.8
108159,3.979756098,18.93170732,666.6578947
108181,2.2725,15.74375,432
108185,6.605,19.698,1094.8
108187,1.01,8.8075,414
108192,6.616956522,28.67978261,699.9090909
108205,5.711764706,21.34529412,858.8571429
108206,4.771388889,26.82111111,640.7941176
108215,4.458461538,23.90395604,538.4157303
108231,3.8268,22.66533333,493.4324324
