HHID,AvgTRIPDIST,AvgTRIPSPD,AvgTRIPDUR(S)
109402,23.18,37.21,1493.82
109404,2.76,18.34,785.57
109415,10.65,35.12,1034.36
109466,109.12,55.64,5891.29
109470,5.96,24.96,678.81
109496,1.66,18.35,299.18
109499,2.74,20.50,763.44
109501,4.45,25.10,621.41
109506,2.90,22.04,432.29
109515,3.88,23.83,523.02
109523,11.84,29.62,985.88
109524,5.75,22.84,802.38
109545,3.30,17.74,591.88
109547,5.66,26.89,663.50
109551,4.63,29.05,552.37
109559,5.53,28.52,708.63
109574,3.62,19.05,574.76
109600,2.37,19.49,359.70
109607,5.13,25.23,754.45
109613,9.44,27.03,1052.90
109627,10.93,28.52,1181.78
109633,12.01,32.17,1057.13
109672,3.93,21.36,471.56
109688,3.45,21.91,548.13
109691,14.91,30.04,1507.82
109692,7.89,29.39,729.00
109708,3.01,22.28,370.53
109720,5.27,24.30,749.90
109728,2.79,6.59,1525.00
109732,4.80,24.31,687.29
109736,5.03,30.90,541.57
109740,6.45,28.08,724.65
109744,7.29,25.57,821.54
109750,7.80,20.96,976.61
109755,9.57,28.31,1099.78
109782,9.63,26.95,849.73
109789,0.85,14.74,232.00
109796,16.21,25.75,1391.21
109800,5.86,19.03,1224.27
109818,4.88,23.85,730.40
109828,20.86,32.70,1642.21
109833,11.63,24.26,1278.15
109834,9.24,29.25,915.78
109841,6.52,24.11,928.93
109860,4.24,23.17,578.63
109877,2.37,16.24,564.20
109908,7.26,26.02,924.60
109929,2.26,20.30,407.16
109955,9.13,30.04,977.18
109961,8.28,24.10,895.20
109967,8.11,28.68,867.65
109977,2.41,19.25,410.35
109979,3.75,23.21,479.54
109985,4.82,21.68,716.69
109993,4.06,21.03,681.31
110014,7.20,28.93,794.03
110027,8.13,27.50,877.83
110034,6.32,24.65,807.63
110039,5.92,27.74,694.40
110041,14.09,31.39,1589.71
110055,10.60,32.60,853.38
110088,2.60,20.76,369.13
110092,19.04,29.93,1685.40
110104,34.12,39.34,2106.85
110123,4.12,22.25,580.55
110126,5.27,27.11,656.00
110128,9.07,25.55,933.29
110129,3.11,20.73,467.67
110140,32.45,42.44,1966.06
110151,3.33,21.52,671.73
110161,4.48,23.26,632.68
110167,5.93,27.24,766.87
110168,3.46,20.58,540.65
110169,2.47,18.37,470.26
110170,2.84,16.19,489.18
110181,5.85,24.31,761.27
110185,1.22,14.78,267.88
110192,20.41,33.66,2195.56
110195,0.42,12.22,133.83
110206,5.77,20.41,890.10
110214,4.72,20.97,662.17
110217,2.33,19.95,412.43
110231,15.83,39.86,1358.40
110233,3.66,22.25,601.36
110235,2.93,16.13,662.63
110240,11.48,29.58,1261.48
110265,6.06,25.53,850.78
110269,1.89,19.84,338.67
110277,12.72,32.74,1166.21
110285,9.01,28.11,1021.47
110288,3.65,19.81,515.79
110291,2.48,15.76,544.80
110294,4.98,20.86,676.78
110297,0.49,12.38,133.50
110298,15.91,35.47,1566.73
110300,10.99,33.00,1019.00
110308,5.27,24.12,726.95
110309,8.71,29.44,824.67
110322,8.81,25.96,1149.55
110327,6.97,28.66,824.40
110331,4.58,23.28,684.24
110335,19.59,41.76,1537.67
110337,12.03,35.05,1138.67
110355,9.02,33.75,758.86
110356,2.41,18.14,456.29
110361,2.68,21.45,396.75
110365,8.05,23.54,1002.67
110367,7.70,32.10,732.98
110369,11.28,30.17,1201.15
110376,13.77,28.16,1275.96
110379,7.96,30.23,791.59
110381,6.47,25.37,725.67
110384,6.05,25.75,708.03
110401,2.29,18.03,369.38
110402,8.82,18.90,1095.63
110414,2.00,19.62,340.50
110423,7.32,27.48,730.21
110428,6.60,29.70,770.69
110429,6.10,29.75,592.14
110430,7.32,27.45,894.22
110442,5.14,23.98,723.23
110446,6.67,12.74,1748.82
110456,3.65,25.02,445.50
110475,12.65,31.82,1326.95
110507,9.48,33.75,809.23
110518,13.72,32.60,1108.43
110522,5.58,26.02,637.23
110523,1.03,13.33,247.75
110529,2.72,25.23,320.10
110543,3.74,21.95,590.17
110560,16.94,31.00,1404.75
110561,2.91,21.92,486.35
110566,13.65,36.61,1168.66
110605,4.55,18.99,780.41
110609,4.86,22.95,762.79
110613,4.08,31.28,443.00
110629,5.33,25.40,790.69
110632,5.39,21.41,849.37
110664,10.95,32.18,1036.25
110672,3.88,23.00,709.13
110679,5.45,26.19,705.13
110696,3.49,19.55,503.18
110698,4.92,22.83,755.80
110848,4.59,24.23,642.47
110849,1.29,15.37,297.71
110854,11.18,32.12,996.06
110865,9.43,32.42,948.05
110869,12.83,33.35,1219.21
110913,7.18,27.44,704.09
110925,7.49,39.05,693.50
110929,2.96,22.79,468.68
110935,5.35,16.48,1208.88
110936,2.97,15.39,563.00
110959,5.50,25.27,685.90
110982,8.13,31.17,792.93
110991,3.47,21.38,479.33
110996,3.69,21.47,586.26
111019,2.61,18.45,392.24
111033,8.95,26.00,1074.19
111052,4.83,23.32,542.25
111058,17.53,33.87,1606.65
111081,6.95,22.07,1152.83
111097,4.98,21.51,692.50
111103,7.81,28.87,992.00
111125,3.76,24.34,564.60
111140,5.74,23.94,777.06
111154,6.31,20.74,702.11
111155,11.21,36.09,1037.60
111173,8.16,28.88,845.60
111185,2.55,21.73,342.71
111187,7.25,30.65,822.27
111197,3.15,22.64,396.20
111213,3.86,10.81,4402.43
111221,3.35,20.83,526.86
111223,14.50,36.69,1261.83
111232,53.20,55.49,3451.00
111239,9.11,29.38,952.52
111253,4.02,19.90,689.10
111257,1.77,14.32,587.09
111263,8.80,22.71,940.00
111269,5.93,28.07,622.62
111273,4.76,23.72,607.16
111308,6.83,27.76,786.30
111313,8.60,21.63,752.21
111315,3.69,19.68,631.00
111328,6.53,26.29,710.15
111345,11.97,31.26,1278.86
111351,3.34,21.22,557.50
111363,10.27,31.68,1132.25
