ZONE,AT,HH,CarbonTon
419,2,82.000000000000,0.259
420,2,810.000000000000,2.555
421,2,309.000000000000,0.975
422,2,43.000000000000,0.136
423,2,121.000000000000,0.382
424,2,946.000000000000,2.984
425,2,154.000000000000,0.486
426,2,302.000000000000,0.953
427,2,403.000000000000,1.271
428,2,0.000000000000,0.000
429,2,62.000000000000,0.196
430,2,499.000000000000,1.574
431,2,153.000000000000,0.483
432,2,473.000000000000,1.492
433,2,0.000000000000,0.000
434,2,36.000000000000,0.114
435,2,1091.000000000000,3.442
436,2,0.000000000000,0.000
437,2,104.000000000000,0.328
438,2,1321.000000000000,4.167
439,2,0.000000000000,0.000
440,2,56.000000000000,0.177
441,2,713.000000000000,2.249
442,2,1122.000000000000,3.539
443,2,1032.000000000000,3.255
444,2,555.000000000000,1.751
445,2,622.000000000000,1.962
446,2,83.000000000000,0.262
447,2,823.000000000000,2.596
448,2,912.000000000000,2.877
449,2,132.000000000000,0.416
450,2,423.000000000000,1.334
451,2,871.000000000000,2.748
452,2,48.000000000000,0.151
453,2,48.000000000000,0.151
454,2,395.000000000000,1.246
455,2,901.000000000000,2.842
456,2,715.000000000000,2.255
457,2,557.000000000000,1.757
458,2,503.000000000000,1.587
459,2,490.000000000000,1.546
460,2,445.000000000000,1.404
461,1,1030.000000000000,2.390
462,2,1133.000000000000,3.574
463,1,151.000000000000,0.350
464,1,355.000000000000,0.824
465,1,700.000000000000,1.624
466,1,210.000000000000,0.487
467,1,319.000000000000,0.740
468,1,765.000000000000,1.775
469,1,1151.000000000000,2.671
470,1,823.000000000000,1.910
471,1,917.000000000000,2.128
472,1,1170.000000000000,2.715
473,1,496.000000000000,1.151
474,1,942.000000000000,2.186
475,1,1001.000000000000,2.323
476,1,358.000000000000,0.831
477,1,1236.000000000000,2.868
478,1,1157.000000000000,2.685
479,2,821.000000000000,2.590
480,2,1448.000000000000,4.568
481,1,1512.000000000000,3.509
482,1,630.000000000000,1.462
483,1,2.000000000000,0.005
484,1,22.000000000000,0.051
485,1,7.000000000000,0.016
486,1,1018.000000000000,2.362
487,1,912.000000000000,2.116
488,1,985.000000000000,2.286
489,1,694.000000000000,1.611
490,1,141.000000000000,0.327
491,1,79.000000000000,0.183
492,1,175.000000000000,0.406
493,1,356.000000000000,0.826
494,1,741.000000000000,1.720
495,1,290.000000000000,0.673
496,1,1285.000000000000,2.982
497,1,1100.000000000000,2.553
498,1,452.000000000000,1.049
499,1,99.000000000000,0.230
500,1,547.000000000000,1.269
501,1,229.000000000000,0.531
502,1,200.000000000000,0.464
503,1,85.000000000000,0.197
504,1,119.000000000000,0.276
505,1,827.000000000000,1.919
506,1,306.000000000000,0.710
507,1,769.000000000000,1.785
508,1,279.000000000000,0.647
509,1,889.000000000000,2.063
510,1,641.000000000000,1.488
511,1,623.000000000000,1.446
512,1,959.000000000000,2.226
513,1,943.000000000000,2.188
514,1,759.000000000000,1.761
515,1,1090.000000000000,2.530
516,1,772.000000000000,1.792
517,1,565.000000000000,1.311
518,1,445.000000000000,1.033
519,1,587.000000000000,1.362
520,1,1208.000000000000,2.803
521,1,1209.000000000000,2.806
522,1,380.000000000000,0.882
523,1,573.000000000000,1.330
524,1,573.000000000000,1.330
525,1,1121.000000000000,2.601
526,1,174.000000000000,0.404
527,1,461.000000000000,1.070
528,2,1026.000000000000,3.237
529,1,33.000000000000,0.077
530,2,1433.000000000000,4.520
531,1,485.000000000000,1.126
532,1,155.000000000000,0.360
533,2,961.000000000000,3.031
534,2,0.000000000000,0.000
535,2,747.000000000000,2.356
536,2,785.000000000000,2.476
537,2,943.000000000000,2.975
538,2,685.000000000000,2.161
539,2,507.000000000000,1.599
540,2,911.000000000000,2.874
541,2,830.000000000000,2.618
542,2,549.000000000000,1.732
543,2,519.000000000000,1.637
544,2,609.000000000000,1.921
545,2,973.000000000000,3.069
546,2,441.000000000000,1.391
547,2,540.000000000000,1.703
548,2,315.000000000000,0.994
549,2,947.000000000000,2.987
550,1,592.000000000000,1.374
551,2,1014.000000000000,3.199
552,1,127.000000000000,0.295
553,1,382.000000000000,0.886
554,1,326.000000000000,0.757
555,1,403.000000000000,0.935
556,1,388.000000000000,0.900
557,1,372.000000000000,0.863
558,1,39.000000000000,0.091
559,1,21.000000000000,0.049
560,1,933.000000000000,2.165
561,1,1719.000000000000,3.989
562,1,1072.000000000000,2.488
563,1,581.000000000000,1.348
564,1,757.000000000000,1.757
565,1,600.000000000000,1.392
566,1,1145.000000000000,2.657
567,1,316.000000000000,0.733
568,1,1271.000000000000,2.950
569,1,1221.000000000000,2.834
570,1,1354.000000000000,3.142
571,1,497.000000000000,1.153
572,1,1140.000000000000,2.646
573,1,878.000000000000,2.038
574,1,785.000000000000,1.822
575,1,223.000000000000,0.518
576,1,828.000000000000,1.922
577,2,274.000000000000,0.864
578,1,262.000000000000,0.608
579,1,800.000000000000,1.857
580,2,731.000000000000,2.306
581,2,1031.000000000000,3.252
582,2,1404.000000000000,4.429
583,2,215.000000000000,0.678
584,2,443.000000000000,1.397
585,2,580.000000000000,1.830
586,2,1126.000000000000,3.552
587,2,388.000000000000,1.224
588,2,820.000000000000,2.587
589,2,623.000000000000,1.965
590,2,565.000000000000,1.782
591,2,104.000000000000,0.328
592,2,120.000000000000,0.379
593,2,1138.000000000000,3.590
594,2,456.000000000000,1.438
595,2,538.000000000000,1.697
596,2,909.000000000000,2.867
597,2,237.000000000000,0.748
598,1,830.000000000000,1.926
599,1,480.000000000000,1.114
600,1,348.000000000000,0.808
601,1,920.000000000000,2.135
602,2,203.000000000000,0.640
603,1,1027.000000000000,2.383
604,2,488.000000000000,1.539
605,2,1043.000000000000,3.290
606,2,745.000000000000,2.350
607,2,14.000000000000,0.044
608,2,630.000000000000,1.987
609,2,838.000000000000,2.643
610,2,948.000000000000,2.990
611,2,478.000000000000,1.508
612,2,543.000000000000,1.713
