"MOVESRunID","iterationID","yearID","monthID","dayID","hourID","stateID","countyID","zoneID","linkID","pollutantID","processID","sourceTypeID","fuelTypeID","modelYearID","roadTypeID","SCC","emissionQuant","emissionQuantMean","emissionQuantSigma"
1,1,2010,7,5,8,39,39061,390610,955800,98,,,,,,"",0.00161845,,
1,1,2010,7,5,8,39,39061,390610,955432,98,,,,,,"",0.00254243,,
1,1,2010,7,5,8,39,39061,390610,955313,98,,,,,,"",0.00162339,,
1,1,2010,7,5,8,39,39061,390610,955302,98,,,,,,"",0.0041099,,
1,1,2010,7,5,8,39,39061,390610,955001,98,,,,,,"",0.0033515,,
1,1,2010,7,5,8,39,39061,390610,954909,98,,,,,,"",0.00350101,,
1,1,2010,7,5,8,39,39061,390610,954824,98,,,,,,"",0.00226181,,
1,1,2010,7,5,8,39,39061,390610,954805,98,,,,,,"",0.00264552,,
1,1,2010,7,5,8,39,39061,390610,954715,98,,,,,,"",0.00181176,,
1,1,2010,7,5,8,39,39061,390610,954578,98,,,,,,"",0.00446791,,
1,1,2010,7,5,8,39,39061,390610,954323,98,,,,,,"",0.0011745,,
1,1,2010,7,5,8,39,39061,390610,954092,98,,,,,,"",0.00227773,,
1,1,2010,7,5,8,39,39061,390610,953993,98,,,,,,"",0.00491592,,
1,1,2010,7,5,8,39,39061,390610,953560,98,,,,,,"",0.00534262,,
1,1,2010,7,5,8,39,39061,390610,953472,98,,,,,,"",0.00239957,,
1,1,2010,7,5,8,39,39061,390610,952763,98,,,,,,"",0.00275582,,
1,1,2010,7,5,8,39,39061,390610,952628,98,,,,,,"",0.00128603,,
1,1,2010,7,5,8,39,39061,390610,952161,98,,,,,,"",0.000759774,,
1,1,2010,7,5,8,39,39061,390610,952089,98,,,,,,"",0.00124391,,
1,1,2010,7,5,8,39,39061,390610,951522,98,,,,,,"",0.00180178,,
1,1,2010,7,5,8,39,39061,390610,951127,98,,,,,,"",0.00362298,,
1,1,2010,7,5,8,39,39061,390610,951115,98,,,,,,"",0.00335252,,
1,1,2010,7,5,8,39,39061,390610,949682,98,,,,,,"",0.01197,,
1,1,2010,7,5,8,39,39061,390610,949496,98,,,,,,"",0.00321305,,
1,1,2010,7,5,8,39,39061,390610,949308,98,,,,,,"",0.00376315,,
1,1,2010,7,5,8,39,39061,390610,949240,98,,,,,,"",0.00229989,,
1,1,2010,7,5,8,39,39061,390610,948838,98,,,,,,"",0.00201846,,
1,1,2010,7,5,8,39,39061,390610,948383,98,,,,,,"",0.000959579,,
1,1,2010,7,5,8,39,39061,390610,947708,98,,,,,,"",0.00325966,,
1,1,2010,7,5,8,39,39061,390610,947561,98,,,,,,"",0.0030345,,
1,1,2010,7,5,8,39,39061,390610,947422,98,,,,,,"",0.00225148,,
1,1,2010,7,5,8,39,39061,390610,947395,98,,,,,,"",0.0024758,,
1,1,2010,7,5,8,39,39061,390610,947351,98,,,,,,"",0.00248066,,
1,1,2010,7,5,8,39,39061,390610,947259,98,,,,,,"",0.00528911,,
1,1,2010,7,5,8,39,39061,390610,946804,98,,,,,,"",0.00286788,,
1,1,2010,7,5,8,39,39061,390610,946754,98,,,,,,"",0.00338465,,
1,1,2010,7,5,8,39,39061,390610,945826,98,,,,,,"",0.00302232,,
1,1,2010,7,5,8,39,39061,390610,945765,98,,,,,,"",0.00301773,,
1,1,2010,7,5,8,39,39061,390610,945705,98,,,,,,"",0.00411648,,
1,1,2010,7,5,8,39,39061,390610,945628,98,,,,,,"",0.00215399,,
1,1,2010,7,5,8,39,39061,390610,945568,98,,,,,,"",0.005984,,
1,1,2010,7,5,8,39,39061,390610,945532,98,,,,,,"",0.00301033,,
1,1,2010,7,5,8,39,39061,390610,945525,98,,,,,,"",0.00343479,,
1,1,2010,7,5,8,39,39061,390610,945441,98,,,,,,"",0.00143185,,
1,1,2010,7,5,8,39,39061,390610,945355,98,,,,,,"",0.00184643,,
1,1,2010,7,5,8,39,39061,390610,945318,98,,,,,,"",0.00199291,,
1,1,2010,7,5,8,39,39061,390610,945293,98,,,,,,"",0.000908659,,
1,1,2010,7,5,8,39,39061,390610,945272,98,,,,,,"",0.00287474,,
1,1,2010,7,5,8,39,39061,390610,945009,98,,,,,,"",0.0022963,,
1,1,2010,7,5,8,39,39061,390610,944858,98,,,,,,"",0.00249554,,
1,1,2010,7,5,8,39,39061,390610,944770,98,,,,,,"",0.00106584,,
1,1,2010,7,5,8,39,39061,390610,944543,98,,,,,,"",0.00135401,,
1,1,2010,7,5,8,39,39061,390610,944047,98,,,,,,"",0.00421426,,
1,1,2010,7,5,8,39,39061,390610,944018,98,,,,,,"",0.00204079,,
1,1,2010,7,5,8,39,39061,390610,943956,98,,,,,,"",0.000946469,,
1,1,2010,7,5,8,39,39061,390610,943910,98,,,,,,"",0.00496514,,
1,1,2010,7,5,8,39,39061,390610,943828,98,,,,,,"",0.00115824,,
