Longitude,Latitude,Speed(kilometer),Course(degrees),Number Of Satellites,HDOP,Altitude(meters),DD/MM/YY,HH:MM:SS,Distance(meters)
-084.463085,39.158535,0,154.00,4,1.91,183.00,30/8/2009,14:20:38,0
-084.463081,39.158506,0,154.00,4,1.90,183.00,30/8/2009,14:20:39,3
-084.463076,39.158501,0,154.00,6,1.30,183.00,30/8/2009,14:20:40,0
-084.463068,39.158503,0,154.00,6,1.30,183.00,30/8/2009,14:20:41,0
-084.463068,39.158455,0,174.00,6,1.30,183.00,30/8/2009,14:20:42,5
-084.463011,39.158426,0,174.00,6,1.30,183.00,30/8/2009,14:20:43,5
-084.463001,39.158416,0,172.00,6,1.30,183.00,30/8/2009,14:20:44,1
-084.463006,39.158411,0,176.00,6,1.30,183.00,30/8/2009,14:20:45,0
-084.463008,39.158405,0,184.00,6,1.30,183.00,30/8/2009,14:20:46,0
-084.463003,39.158386,0,202.00,6,1.30,183.00,30/8/2009,14:20:47,2
-084.463005,39.158396,0,202.00,6,1.30,183.00,30/8/2009,14:20:48,1
-084.463000,39.158388,0,202.00,6,1.30,183.00,30/8/2009,14:20:49,0
-084.462998,39.158400,0,202.00,6,1.30,183.00,30/8/2009,14:20:50,1
-084.462996,39.158398,0,202.00,6,1.30,183.00,30/8/2009,14:20:51,0
-084.463003,39.158401,0,202.00,6,1.30,183.00,30/8/2009,14:20:52,0
-084.463025,39.158400,0,202.00,6,1.30,183.00,30/8/2009,14:20:53,1
-084.463040,39.158401,0,202.00,6,1.30,183.00,30/8/2009,14:20:54,1
-084.463056,39.158393,0,202.00,6,1.30,183.00,30/8/2009,14:20:55,1
-084.463056,39.158401,0,202.00,6,1.30,183.00,30/8/2009,14:20:56,0
-084.463063,39.158395,0,202.00,6,1.30,183.00,30/8/2009,14:20:57,0
-084.463066,39.158393,0,202.00,6,1.30,183.00,30/8/2009,14:20:58,0
-084.463066,39.158393,0,202.00,6,1.30,183.00,30/8/2009,14:20:59,0
-084.463066,39.158396,0,202.00,6,1.30,183.00,30/8/2009,14:21:0,0
-084.463090,39.158390,0,202.00,6,1.30,183.00,30/8/2009,14:21:1,2
-084.463085,39.158388,0,202.00,6,1.30,183.00,30/8/2009,14:21:2,0
-084.463071,39.158391,0,202.00,6,1.30,183.00,30/8/2009,14:21:3,1
-084.463068,39.158393,0,202.00,6,1.30,183.00,30/8/2009,14:21:4,0
-084.463070,39.158391,0,202.00,6,1.30,183.00,30/8/2009,14:21:5,0
-084.463058,39.158395,0,202.00,6,1.30,183.00,30/8/2009,14:21:6,1
-084.463063,39.158396,0,202.00,6,1.30,182.00,30/8/2009,14:21:7,0
-084.463066,39.158405,0,202.00,6,1.30,182.00,30/8/2009,14:21:8,1
-084.463060,39.158406,0,202.00,6,1.30,182.00,30/8/2009,14:21:9,0
-084.463055,39.158415,0,202.00,6,1.30,182.00,30/8/2009,14:21:10,1
-084.463058,39.158420,0,202.00,6,1.30,182.00,30/8/2009,14:21:11,0
-084.463058,39.158420,0,202.00,6,1.30,182.00,30/8/2009,14:21:12,0
-084.463050,39.158428,0,202.00,6,1.30,182.00,30/8/2009,14:21:13,1
-084.463051,39.158426,0,202.00,6,1.30,182.00,30/8/2009,14:21:14,0
-084.463055,39.158425,0,202.00,6,1.30,182.00,30/8/2009,14:21:15,0
-084.463055,39.158428,0,202.00,6,1.30,182.00,30/8/2009,14:21:16,0
-084.463058,39.158438,0,202.00,6,1.34,182.00,30/8/2009,14:21:17,1
-084.463058,39.158440,0,202.00,6,1.30,182.00,30/8/2009,14:21:18,0
-084.463063,39.158443,0,202.00,6,1.30,182.00,30/8/2009,14:21:19,0
-084.463063,39.158445,0,202.00,6,1.30,182.00,30/8/2009,14:21:20,0
-084.463056,39.158450,0,202.00,6,1.30,182.00,30/8/2009,14:21:21,0
-084.463055,39.158448,0,202.00,6,1.30,182.00,30/8/2009,14:21:22,0
-084.463050,39.158448,0,202.00,6,1.30,182.00,30/8/2009,14:21:23,0
-084.463055,39.158455,0,202.00,6,1.30,182.00,30/8/2009,14:21:24,0
-084.463053,39.158450,0,202.00,6,1.30,182.00,30/8/2009,14:21:25,0
-084.463053,39.158450,0,202.00,6,1.30,182.00,30/8/2009,14:21:26,0
-084.463035,39.158435,0,202.00,6,1.30,182.00,30/8/2009,14:21:27,2
-084.463030,39.158438,0,202.00,6,1.30,182.00,30/8/2009,14:21:28,0
-084.463030,39.158438,0,202.00,6,1.30,181.00,30/8/2009,14:21:29,0
-084.463023,39.158425,0,202.00,6,1.30,181.00,30/8/2009,14:21:30,1
-084.463023,39.158423,0,202.00,6,1.30,181.00,30/8/2009,14:21:31,0
-084.463018,39.158418,0,202.00,6,1.30,181.00,30/8/2009,14:21:32,0
-084.463030,39.158415,0,202.00,6,1.30,181.00,30/8/2009,14:21:33,1
-084.463028,39.158415,0,202.00,6,1.30,181.00,30/8/2009,14:21:34,0
-084.463031,39.158415,0,202.00,6,1.30,181.00,30/8/2009,14:21:35,0
-084.463023,39.158420,0,202.00,6,1.30,181.00,30/8/2009,14:21:36,0
-084.463023,39.158418,0,202.00,6,1.30,181.00,30/8/2009,14:21:37,0
-084.463033,39.158415,0,202.00,6,1.30,181.00,30/8/2009,14:21:38,0
-084.463036,39.158413,0,202.00,6,1.30,181.00,30/8/2009,14:21:39,0
-084.463041,39.158410,0,202.00,6,1.30,181.00,30/8/2009,14:21:40,0
-084.463046,39.158403,0,202.00,6,1.30,181.00,30/8/2009,14:21:41,0
-084.463051,39.158398,0,202.00,6,1.30,181.00,30/8/2009,14:21:42,0
-084.463051,39.158390,0,202.00,6,1.30,181.00,30/8/2009,14:21:43,0
-084.463058,39.158391,0,202.00,6,1.30,181.00,30/8/2009,14:21:44,0
-084.463070,39.158400,0,202.00,6,1.30,181.00,30/8/2009,14:21:45,1
-084.463068,39.158398,0,202.00,6,1.30,181.00,30/8/2009,14:21:46,0
-084.463065,39.158395,0,202.00,6,1.30,181.00,30/8/2009,14:21:47,0
-084.463056,39.158400,0,202.00,6,1.30,181.00,30/8/2009,14:21:48,0
-084.463053,39.158408,0,202.00,6,1.30,181.00,30/8/2009,14:21:49,0
-084.463055,39.158403,0,202.00,6,1.30,181.00,30/8/2009,14:21:50,0
-084.463046,39.158401,0,202.00,6,1.30,181.00,30/8/2009,14:21:51,0
-084.463046,39.158393,0,202.00,6,1.30,181.00,30/8/2009,14:21:52,0
-084.463050,39.158396,0,202.00,6,1.30,182.00,30/8/2009,14:21:53,0
-084.463046,39.158393,0,202.00,6,1.30,182.00,30/8/2009,14:21:54,0
-084.463041,39.158386,0,202.00,6,1.30,182.00,30/8/2009,14:21:55,0
-084.463048,39.158393,0,202.00,6,1.30,182.00,30/8/2009,14:21:56,0
-084.463055,39.158398,0,202.00,6,1.30,182.00,30/8/2009,14:21:57,0
-084.463053,39.158398,0,202.00,6,1.30,182.00,30/8/2009,14:21:58,0
-084.463055,39.158401,0,202.00,6,1.30,182.00,30/8/2009,14:21:59,0
-084.463063,39.158405,0,202.00,6,1.30,182.00,30/8/2009,14:22:0,0
-084.463058,39.158398,0,202.00,6,1.30,182.00,30/8/2009,14:22:1,0
-084.463060,39.158406,0,202.00,6,1.30,182.00,30/8/2009,14:22:2,0
-084.463063,39.158408,0,202.00,6,1.30,182.00,30/8/2009,14:22:3,0
-084.463070,39.158413,0,202.00,6,1.30,181.00,30/8/2009,14:22:4,0
-084.463065,39.158415,0,202.00,6,1.30,181.00,30/8/2009,14:22:5,0
-084.463065,39.158410,0,202.00,6,1.30,181.00,30/8/2009,14:22:6,0
-084.463051,39.158406,0,202.00,6,1.30,181.00,30/8/2009,14:22:7,1
-084.463055,39.158406,0,202.00,6,1.30,181.00,30/8/2009,14:22:8,0
-084.463055,39.158416,0,202.00,6,1.30,181.00,30/8/2009,14:22:9,1
-084.463061,39.158425,0,202.00,6,1.30,181.00,30/8/2009,14:22:10,1
-084.463063,39.158423,0,202.00,6,1.34,181.00,30/8/2009,14:22:11,0
-084.463073,39.158430,0,202.00,6,1.30,181.00,30/8/2009,14:22:12,1
-084.463068,39.158423,0,202.00,6,1.30,181.00,30/8/2009,14:22:13,0
-084.463061,39.158420,0,202.00,6,1.30,181.00,30/8/2009,14:22:14,0
-084.463056,39.158420,0,202.00,6,1.30,181.00,30/8/2009,14:22:15,0
-084.463055,39.158430,0,202.00,6,1.30,181.00,30/8/2009,14:22:16,1
-084.463055,39.158431,0,202.00,6,1.30,181.00,30/8/2009,14:22:17,0
-084.463060,39.158431,0,202.00,6,1.30,181.00,30/8/2009,14:22:18,0
-084.463056,39.158431,0,202.00,6,1.30,181.00,30/8/2009,14:22:19,0
