Longitude,Latitude,Speed(kilometer),Course(degrees),Number Of Satellites,HDOP,Altitude(meters),DD/MM/YY,HH:MM:SS,Distance(meters)
-084.622065,39.104823,13,160.00,3,22.90,133.00,14/9/2009,2:35:19,0
-084.622026,39.104758,15,154.00,3,22.90,133.00,14/9/2009,2:35:20,7
-084.622001,39.104716,15,156.00,3,22.90,133.00,14/9/2009,2:35:21,5
-084.622028,39.104761,2,154.00,3,22.88,133.00,14/9/2009,2:35:22,5
-084.622001,39.104723,2,154.00,3,22.86,133.00,14/9/2009,2:35:23,4
-084.621996,39.104718,2,154.00,3,22.85,133.00,14/9/2009,2:35:24,0
-084.621998,39.104705,2,154.00,3,22.84,133.00,14/9/2009,2:35:25,1
-084.621863,39.104493,6,172.00,3,22.83,133.00,14/9/2009,2:35:26,26
-084.621785,39.104426,7,148.00,3,22.80,133.00,14/9/2009,2:35:27,10
-084.621785,39.104366,7,148.00,3,22.80,133.00,14/9/2009,2:35:28,6
-084.621721,39.104366,7,148.00,3,22.79,133.00,14/9/2009,2:35:29,5
-084.621303,39.103963,11,158.00,3,22.69,133.00,14/9/2009,2:35:37,57
-084.619563,39.102471,2,194.00,4,12.96,280.00,14/9/2009,11:54:23,223
-084.619565,39.102468,2,194.00,4,12.96,280.00,14/9/2009,11:54:24,0
-084.619565,39.102473,2,194.00,4,12.97,280.00,14/9/2009,11:54:25,0
-084.619561,39.102486,0,194.00,4,13.00,280.00,14/9/2009,11:54:26,1
-084.619570,39.102470,0,196.00,4,13.10,280.00,14/9/2009,11:54:27,1
-084.619575,39.102451,2,196.00,4,13.30,280.00,14/9/2009,11:54:28,2
-084.619576,39.102451,0,196.00,4,13.50,280.00,14/9/2009,11:54:29,0
-084.619578,39.102441,0,196.00,4,13.70,281.00,14/9/2009,11:54:30,1
-084.619578,39.102441,0,196.00,4,13.80,281.00,14/9/2009,11:54:31,0
-084.619578,39.102441,2,206.00,3,1.22,281.00,14/9/2009,11:54:33,0
-084.619576,39.102450,2,216.00,3,1.22,281.00,14/9/2009,11:54:34,1
-084.619563,39.102380,7,358.00,3,14.50,281.00,14/9/2009,11:58:9,7
-084.619528,39.102463,9,20.00,3,14.50,281.00,14/9/2009,11:58:10,9
-084.619525,39.102466,4,8.00,3,14.50,281.00,14/9/2009,11:58:11,0
-084.619523,39.102505,6,14.00,3,14.60,281.00,14/9/2009,11:58:12,4
-084.619506,39.102583,9,14.00,3,14.40,281.00,14/9/2009,11:58:13,8
-084.619501,39.102608,9,14.00,3,14.50,281.00,14/9/2009,11:58:14,2
-084.619491,39.102651,11,8.00,3,14.50,281.00,14/9/2009,11:58:15,4
-084.619711,39.102146,6,14.00,4,22.60,281.00,14/9/2009,11:58:50,59
-084.619725,39.102113,6,16.00,4,22.60,281.00,14/9/2009,11:58:51,3
-084.619725,39.102113,4,22.00,4,22.66,280.00,14/9/2009,11:58:52,0
-084.619746,39.102073,4,348.00,4,22.72,280.00,14/9/2009,11:58:53,4
-084.619716,39.102141,9,14.00,4,22.79,280.00,14/9/2009,11:58:54,7
-084.619730,39.102096,7,10.00,4,22.84,280.00,14/9/2009,11:58:55,5
-084.619741,39.102075,6,12.00,4,22.89,280.00,14/9/2009,11:58:56,2
-084.619743,39.102073,4,2.00,4,22.99,280.00,14/9/2009,11:58:57,0
-084.619745,39.102076,6,12.00,4,23.40,280.00,14/9/2009,11:58:58,0
-084.619740,39.102088,6,14.00,4,23.11,280.00,14/9/2009,11:58:59,1
-084.619738,39.102086,6,14.00,4,23.18,280.00,14/9/2009,11:59:0,0
-084.619736,39.102083,6,12.00,4,23.26,279.00,14/9/2009,11:59:1,0
-084.619728,39.102101,4,12.00,4,23.29,279.00,14/9/2009,11:59:2,2
-084.619723,39.102106,4,12.00,4,23.39,279.00,14/9/2009,11:59:3,0
-084.619723,39.102106,4,12.00,4,23.47,278.00,14/9/2009,11:59:4,0
-084.619721,39.102111,4,12.00,4,23.51,278.00,14/9/2009,11:59:5,0
-084.619726,39.102115,4,4.00,4,23.59,278.00,14/9/2009,11:59:6,0
-084.619726,39.102126,6,12.00,4,23.65,278.00,14/9/2009,11:59:7,1
-084.619716,39.102150,6,20.00,4,23.73,278.00,14/9/2009,11:59:8,2
-084.619710,39.102163,2,20.00,4,23.82,278.00,14/9/2009,11:59:9,1
-084.619705,39.102180,2,20.00,4,23.89,278.00,14/9/2009,11:59:10,1
-084.619711,39.102176,4,10.00,4,23.93,278.00,14/9/2009,11:59:11,0
-084.619711,39.102170,4,10.00,4,24.30,278.00,14/9/2009,11:59:12,0
-084.619740,39.102133,4,12.00,4,24.10,278.00,14/9/2009,11:59:13,4
-084.619751,39.102115,2,12.00,4,24.15,278.00,14/9/2009,11:59:14,2
-084.619763,39.102093,2,12.00,4,24.23,278.00,14/9/2009,11:59:15,2
-084.619646,39.102273,2,8.00,4,14.87,278.00,14/9/2009,12:3:6,22
-084.619658,39.102236,2,8.00,4,14.87,278.00,14/9/2009,12:3:7,4
-084.619658,39.102236,2,8.00,4,14.81,278.00,14/9/2009,12:3:8,0
-084.619648,39.102261,2,8.00,4,14.79,278.00,14/9/2009,12:3:9,2
-084.619648,39.102270,2,8.00,4,14.74,278.00,14/9/2009,12:3:10,1
-084.619638,39.102263,0,10.00,4,14.72,278.00,14/9/2009,12:3:11,1
-084.619633,39.102285,0,10.00,4,14.70,278.00,14/9/2009,12:3:12,2
-084.619633,39.102285,0,10.00,4,14.64,278.00,14/9/2009,12:3:13,0
-084.619631,39.102280,0,10.00,4,14.60,278.00,14/9/2009,12:3:14,0
-084.619631,39.102280,0,10.00,4,14.56,278.00,14/9/2009,12:3:15,0
-084.619631,39.102280,0,10.00,4,1.19,278.00,14/9/2009,12:3:17,0
-084.619631,39.102280,0,10.00,4,1.19,278.00,14/9/2009,12:3:18,0
-084.619630,39.102280,0,10.00,4,11.13,278.00,14/9/2009,12:3:19,0
-084.619630,39.102280,0,10.00,4,11.11,278.00,14/9/2009,12:3:20,0
-084.619630,39.102280,0,10.00,4,11.10,278.00,14/9/2009,12:3:21,0
-084.619630,39.102280,0,10.00,4,11.10,278.00,14/9/2009,12:3:22,0
-084.619630,39.102283,0,10.00,4,1.19,278.00,14/9/2009,12:3:23,0
-084.619630,39.102285,0,10.00,4,11.70,278.00,14/9/2009,12:3:24,0
-084.619630,39.102285,0,10.00,4,11.50,278.00,14/9/2009,12:3:25,0
-084.619630,39.102285,0,10.00,4,11.40,278.00,14/9/2009,12:3:26,0
-084.619630,39.102285,0,10.00,4,11.30,278.00,14/9/2009,12:3:27,0
-084.619630,39.102285,0,10.00,4,11.10,278.00,14/9/2009,12:3:28,0
-084.619630,39.102285,0,10.00,4,11.00,278.00,14/9/2009,12:3:29,0
-084.619630,39.102285,0,10.00,4,10.99,278.00,14/9/2009,12:3:30,0
-084.619630,39.102285,0,10.00,4,10.98,278.00,14/9/2009,12:3:31,0
-084.619630,39.102285,0,10.00,4,10.96,278.00,14/9/2009,12:3:32,0
-084.619630,39.102285,0,10.00,4,10.95,278.00,14/9/2009,12:3:33,0
-084.619630,39.102285,0,10.00,4,10.93,278.00,14/9/2009,12:3:34,0
-084.619630,39.102285,0,10.00,4,10.92,278.00,14/9/2009,12:3:35,0
-084.619630,39.102285,0,10.00,4,10.91,278.00,14/9/2009,12:3:36,0
-084.619630,39.102285,0,10.00,3,20.72,278.00,14/9/2009,12:3:37,0
-084.619630,39.102285,0,10.00,3,20.65,278.00,14/9/2009,12:3:38,0
-084.619630,39.102285,0,20.00,3,20.57,278.00,14/9/2009,12:3:39,0
-084.619630,39.102281,0,30.00,3,1.24,278.00,14/9/2009,12:3:40,0
-084.619643,39.102260,2,68.00,4,7.90,278.00,14/9/2009,12:3:44,2
-084.619656,39.102258,2,78.00,4,7.90,278.00,14/9/2009,12:3:45,1
-084.619656,39.102261,0,88.00,4,7.80,278.00,14/9/2009,12:3:46,0
-084.619661,39.102268,0,98.00,4,7.80,278.00,14/9/2009,12:3:47,0
-084.619661,39.102266,2,106.00,4,7.80,278.00,14/9/2009,12:3:48,0
-084.619683,39.102268,2,114.00,4,7.70,278.00,14/9/2009,12:3:49,1
-084.619675,39.102273,0,122.00,4,7.70,278.00,14/9/2009,12:3:50,0
-084.619665,39.102293,0,122.00,5,7.35,278.00,14/9/2009,12:3:51,2
-084.619635,39.102306,0,116.00,4,7.70,278.00,14/9/2009,12:3:52,2
-084.619610,39.102321,0,110.00,5,7.33,278.00,14/9/2009,12:3:53,2
-084.619598,39.102335,2,104.00,5,6.15,278.00,14/9/2009,12:3:54,1
-084.619590,39.102351,2,100.00,5,6.15,278.00,14/9/2009,12:3:55,1
-084.619580,39.102371,2,94.00,5,6.15,278.00,14/9/2009,12:3:56,2
-084.619571,39.102398,2,18.00,5,6.15,278.00,14/9/2009,12:3:57,3
-084.619565,39.102421,4,20.00,5,6.14,278.00,14/9/2009,12:3:58,2
-084.619556,39.102456,4,16.00,5,6.14,278.00,14/9/2009,12:3:59,3
-084.619556,39.102461,4,14.00,5,6.14,278.00,14/9/2009,12:4:0,0
-084.619553,39.102478,4,14.00,5,6.14,278.00,14/9/2009,12:4:1,1
-084.619548,39.102486,4,16.00,5,6.14,278.00,14/9/2009,12:4:2,0
-084.619541,39.102495,4,20.00,4,10.56,278.00,14/9/2009,12:4:3,1
-084.619540,39.102498,4,22.00,4,10.55,278.00,14/9/2009,12:4:4,0
-084.619523,39.102503,4,28.00,4,10.54,278.00,14/9/2009,12:4:5,1
-084.619525,39.102493,2,28.00,4,10.53,278.00,14/9/2009,12:4:6,1
-084.619521,39.102508,2,28.00,4,10.51,278.00,14/9/2009,12:4:7,1
-084.619515,39.102518,2,28.00,4,10.50,278.00,14/9/2009,12:4:8,1
-084.619506,39.102530,2,28.00,4,10.49,278.00,14/9/2009,12:4:9,1
-084.619498,39.102540,2,26.00,4,10.48,278.00,14/9/2009,12:4:10,1
-084.619495,39.102546,2,24.00,4,10.46,278.00,14/9/2009,12:4:11,0
-084.619503,39.102523,2,22.00,4,10.44,278.00,14/9/2009,12:4:12,2
-084.619501,39.102508,2,24.00,4,10.44,278.00,14/9/2009,12:4:13,1
-084.619501,39.102508,4,18.00,4,10.42,278.00,14/9/2009,12:4:14,0
-084.619475,39.102628,4,14.00,5,6.11,278.00,14/9/2009,12:4:15,13
-084.619468,39.102663,6,12.00,5,6.11,278.00,14/9/2009,12:4:16,3
-084.619460,39.102690,6,12.00,5,6.11,278.00,14/9/2009,12:4:17,3
-084.619460,39.102690,6,10.00,5,6.10,278.00,14/9/2009,12:4:18,0
-084.619451,39.102705,6,12.00,5,6.10,278.00,14/9/2009,12:4:19,1
-084.619438,39.102741,6,10.00,5,6.10,278.00,14/9/2009,12:4:20,4
-084.619428,39.102760,6,16.00,5,6.10,278.00,14/9/2009,12:4:21,2
-084.619435,39.102688,4,34.00,5,6.90,278.00,14/9/2009,12:4:25,8
-084.619436,39.102666,4,34.00,5,6.90,278.00,14/9/2009,12:4:25,2
-084.619443,39.102650,2,34.00,5,6.80,278.00,14/9/2009,12:4:26,1
-084.619445,39.102628,2,34.00,5,6.80,278.00,14/9/2009,12:4:27,2
-084.619468,39.102578,0,34.00,5,6.80,278.00,14/9/2009,12:4:28,5
-084.619485,39.102505,0,34.00,5,6.70,278.00,14/9/2009,12:4:30,8
-084.619468,39.102505,2,36.00,5,6.70,278.00,14/9/2009,12:4:31,1
-084.619473,39.102468,2,40.00,5,6.70,278.00,14/9/2009,12:4:32,4
-084.619478,39.102435,2,42.00,5,6.70,278.00,14/9/2009,12:4:33,3
-084.619496,39.102366,2,48.00,5,6.70,278.00,14/9/2009,12:4:34,7
-084.619525,39.102280,2,54.00,5,6.70,278.00,14/9/2009,12:4:35,9
-084.619538,39.102238,2,62.00,5,6.60,278.00,14/9/2009,12:4:36,4
-084.619541,39.102226,2,68.00,5,6.60,278.00,14/9/2009,12:4:37,1
-084.619543,39.102213,2,76.00,5,6.60,278.00,14/9/2009,12:4:38,1
-084.619555,39.102198,2,82.00,5,6.60,278.00,14/9/2009,12:4:39,1
-084.619555,39.102198,2,90.00,5,6.50,278.00,14/9/2009,12:4:40,0
-084.619558,39.102191,2,96.00,5,6.50,278.00,14/9/2009,12:4:41,0
-084.619560,39.102188,2,102.00,5,6.50,278.00,14/9/2009,12:4:42,0
-084.619560,39.102200,2,108.00,5,6.50,278.00,14/9/2009,12:4:43,1
-084.619543,39.102253,0,110.00,5,6.50,278.00,14/9/2009,12:4:44,6
-084.619543,39.102276,0,110.00,5,6.40,278.00,14/9/2009,12:4:45,2
-084.619541,39.102278,0,110.00,5,6.40,278.00,14/9/2009,12:4:46,0
