Longitude,Latitude,Speed(kilometer),Course(degrees),Number Of Satellites,HDOP,Altitude(meters),DD/MM/YY,HH:MM:SS,Distance(meters)
-084.395746,39.295663,0,0.00,3,98.15,183.00,14/8/2009,17:26:57,0
-084.395300,39.296323,0,0.00,5,1.39,276.00,14/8/2009,17:26:58,82
-084.395256,39.296380,0,0.00,5,1.20,276.00,14/8/2009,17:26:59,7
-084.395230,39.296378,0,56.00,5,1.20,276.00,14/8/2009,17:27:0,2
-084.395216,39.296388,0,44.00,5,1.20,276.00,14/8/2009,17:27:1,1
-084.395200,39.296386,0,44.00,5,1.20,276.00,14/8/2009,17:27:2,1
-084.395200,39.296386,0,44.00,5,1.20,276.00,14/8/2009,17:27:3,0
-084.395191,39.296401,0,44.00,6,1.11,276.00,14/8/2009,17:27:4,1
-084.395186,39.296398,0,44.00,6,1.11,276.00,14/8/2009,17:27:5,0
-084.395181,39.296398,0,44.00,6,1.11,276.00,14/8/2009,17:27:6,0
-084.395181,39.296391,0,44.00,6,1.11,275.00,14/8/2009,17:27:7,0
-084.395181,39.296396,0,44.00,7,1.80,276.00,14/8/2009,17:27:8,0
-084.395180,39.296401,0,44.00,8,0.99,276.00,14/8/2009,17:27:9,0
-084.395168,39.296420,0,44.00,8,0.99,276.00,14/8/2009,17:27:10,2
-084.395165,39.296433,0,44.00,8,0.99,275.00,14/8/2009,17:27:11,1
-084.395163,39.296441,0,44.00,8,1.70,275.00,14/8/2009,17:27:12,0
-084.395150,39.296450,0,44.00,8,1.70,274.00,14/8/2009,17:27:13,1
-084.395141,39.296468,0,44.00,8,1.70,274.00,14/8/2009,17:27:14,2
-084.395140,39.296473,0,44.00,8,0.99,274.00,14/8/2009,17:27:15,0
-084.395141,39.296476,0,44.00,8,0.99,274.00,14/8/2009,17:27:16,0
-084.395145,39.296470,0,44.00,8,0.99,274.00,14/8/2009,17:27:17,0
-084.395145,39.296470,0,44.00,8,0.99,274.00,14/8/2009,17:27:18,0
-084.395148,39.296471,0,44.00,8,0.99,274.00,14/8/2009,17:27:19,0
-084.395155,39.296468,0,44.00,8,1.70,274.00,14/8/2009,17:27:20,0
-084.395155,39.296468,0,44.00,8,0.99,274.00,14/8/2009,17:27:21,0
-084.395158,39.296470,0,44.00,8,0.99,274.00,14/8/2009,17:27:22,0
-084.395153,39.296471,0,44.00,8,1.00,274.00,14/8/2009,17:27:23,0
-084.395155,39.296470,0,44.00,8,0.99,274.00,14/8/2009,17:27:24,0
-084.395158,39.296465,0,44.00,8,1.00,274.00,14/8/2009,17:27:25,0
-084.395161,39.296460,0,44.00,8,0.99,275.00,14/8/2009,17:27:26,0
-084.395163,39.296461,0,44.00,8,0.99,275.00,14/8/2009,17:27:27,0
-084.395163,39.296460,0,44.00,8,0.99,275.00,14/8/2009,17:27:28,0
-084.395165,39.296458,0,44.00,8,1.00,275.00,14/8/2009,17:27:29,0
-084.395165,39.296456,2,202.00,8,0.99,275.00,14/8/2009,17:27:30,0
-084.395166,39.296455,0,206.00,8,1.00,274.00,14/8/2009,17:27:31,0
-084.395165,39.296456,0,206.00,8,0.99,274.00,14/8/2009,17:27:32,0
-084.395166,39.296460,0,206.00,8,1.00,274.00,14/8/2009,17:27:33,0
-084.395173,39.296458,0,206.00,8,0.99,274.00,14/8/2009,17:27:34,0
-084.395171,39.296461,0,206.00,8,1.00,274.00,14/8/2009,17:27:35,0
-084.395170,39.296461,0,206.00,8,1.00,274.00,14/8/2009,17:27:36,0
-084.395170,39.296463,0,206.00,8,0.99,274.00,14/8/2009,17:27:37,0
-084.395170,39.296463,0,206.00,8,1.00,274.00,14/8/2009,17:27:38,0
-084.395170,39.296463,0,206.00,8,1.00,274.00,14/8/2009,17:27:39,0
-084.395170,39.296463,0,206.00,8,0.99,274.00,14/8/2009,17:27:40,0
-084.395170,39.296465,0,206.00,8,1.00,274.00,14/8/2009,17:27:41,0
-084.395168,39.296465,0,206.00,8,0.99,274.00,14/8/2009,17:27:42,0
-084.395168,39.296465,0,206.00,8,1.00,274.00,14/8/2009,17:27:43,0
-084.395168,39.296465,0,206.00,8,1.00,274.00,14/8/2009,17:27:44,0
