Longitude,Latitude,Speed(kilometer),Course(degrees),Number Of Satellites,HDOP,Altitude(meters),DD/MM/YY,HH:MM:SS,Distance(meters)
-084.471896,39.246466,0,14.00,4,2.39,189.00,23/8/2009,16:23:35,0
-084.471896,39.246466,0,14.00,4,2.39,189.00,23/8/2009,16:23:36,0
-084.471896,39.246466,0,14.00,4,2.39,189.00,23/8/2009,16:23:37,0
-084.471896,39.246466,0,14.00,4,2.39,189.00,23/8/2009,16:23:38,0
-084.471896,39.246466,0,14.00,4,2.39,189.00,23/8/2009,16:23:39,0
-084.471896,39.246466,0,14.00,4,2.39,189.00,23/8/2009,16:23:40,0
-084.471896,39.246466,0,14.00,4,2.39,189.00,23/8/2009,16:23:41,0
-084.471896,39.246466,0,14.00,4,2.38,189.00,23/8/2009,16:23:42,0
-084.471896,39.246466,0,14.00,4,2.38,189.00,23/8/2009,16:23:43,0
-084.471896,39.246466,0,14.00,4,2.38,189.00,23/8/2009,16:23:44,0
-084.471896,39.246466,0,14.00,4,2.38,189.00,23/8/2009,16:23:45,0
-084.471896,39.246466,0,14.00,4,2.38,189.00,23/8/2009,16:23:46,0
-084.471896,39.246466,0,14.00,4,2.38,189.00,23/8/2009,16:23:47,0
-084.471896,39.246466,0,14.00,4,2.38,189.00,23/8/2009,16:23:48,0
-084.471896,39.246466,0,14.00,4,2.38,189.00,23/8/2009,16:23:49,0
-084.471896,39.246466,0,14.00,6,1.46,189.00,23/8/2009,16:23:50,0
-084.471896,39.246466,0,14.00,6,1.46,189.00,23/8/2009,16:23:51,0
-084.471896,39.246466,0,14.00,6,1.46,189.00,23/8/2009,16:23:52,0
-084.471896,39.246466,0,14.00,6,1.46,189.00,23/8/2009,16:23:53,0
-084.471896,39.246466,0,14.00,6,1.46,189.00,23/8/2009,16:23:54,0
-084.471896,39.246466,0,14.00,6,1.46,189.00,23/8/2009,16:23:40,0
-084.471896,39.246466,0,14.00,6,1.46,189.00,23/8/2009,16:23:41,0
-084.471896,39.246466,0,14.00,6,1.46,189.00,23/8/2009,16:23:42,0
-084.471896,39.246466,0,14.00,6,1.46,189.00,23/8/2009,16:23:43,0
-084.471896,39.246466,0,14.00,6,1.46,189.00,23/8/2009,16:23:44,0
-084.471896,39.246466,0,14.00,6,1.46,189.00,23/8/2009,16:23:45,0
-084.471896,39.246466,0,14.00,6,1.46,189.00,23/8/2009,16:23:46,0
-084.471896,39.246466,0,14.00,6,1.46,189.00,23/8/2009,16:23:47,0
-084.471896,39.246466,0,14.00,6,1.46,189.00,23/8/2009,16:23:48,0
-084.471896,39.246466,0,14.00,6,1.46,189.00,23/8/2009,16:23:49,0
-084.471896,39.246466,0,14.00,6,1.46,189.00,23/8/2009,16:23:50,0
-084.471896,39.246466,0,14.00,5,2.10,189.00,23/8/2009,16:23:51,0
-084.471896,39.246466,0,14.00,5,2.10,189.00,23/8/2009,16:23:52,0
-084.471896,39.246466,0,14.00,6,2.10,189.00,23/8/2009,16:23:53,0
-084.471896,39.246466,0,14.00,6,2.10,189.00,23/8/2009,16:23:54,0
-084.471896,39.246466,0,14.00,6,2.10,189.00,23/8/2009,16:23:55,0
-084.471896,39.246466,0,14.00,6,2.10,189.00,23/8/2009,16:23:56,0
-084.471896,39.246466,0,14.00,6,2.10,189.00,23/8/2009,16:23:57,0
-084.471896,39.246466,0,14.00,6,2.10,189.00,23/8/2009,16:23:58,0
-084.471896,39.246466,0,14.00,6,2.00,189.00,23/8/2009,16:23:59,0
-084.471896,39.246466,0,14.00,6,2.00,189.00,23/8/2009,16:24:0,0
-084.471896,39.246466,0,14.00,6,2.00,189.00,23/8/2009,16:24:1,0
-084.471896,39.246466,0,14.00,6,2.00,189.00,23/8/2009,16:24:2,0
-084.471896,39.246466,0,14.00,6,2.00,189.00,23/8/2009,16:24:3,0
-084.471896,39.246466,0,14.00,6,2.00,189.00,23/8/2009,16:24:4,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:5,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:6,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:7,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:8,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:9,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:10,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:11,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:12,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:13,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:14,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:15,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:16,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:17,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:18,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:19,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:20,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:21,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:22,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:23,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:24,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:25,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:26,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:27,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:28,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:29,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:30,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:31,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:32,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:33,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:34,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:35,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:36,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:37,0
-084.471896,39.246466,0,14.00,7,1.74,189.00,23/8/2009,16:24:38,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:24:39,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:24:40,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:24:41,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:24:42,0
