Longitude,Latitude,Speed(kilometer),Course(degrees),Number Of Satellites,HDOP,Altitude(meters),DD/MM/YY,HH:MM:SS,Distance(meters)
-084.619781,39.102608,0,0.00,4,2.54,277.00,14/9/2009,2:32:8,0
-084.619761,39.102610,0,0.00,4,2.54,277.00,14/9/2009,2:32:9,1
-084.619748,39.102625,0,0.00,4,2.54,280.00,14/9/2009,2:32:10,2
-084.619763,39.102630,0,0.00,4,2.54,277.00,14/9/2009,2:32:11,1
-084.619750,39.102608,0,0.00,4,2.54,277.00,14/9/2009,2:32:12,2
-084.619756,39.102605,0,0.00,4,2.54,276.00,14/9/2009,2:32:13,0
-084.619750,39.102600,0,0.00,4,4.40,276.00,14/9/2009,2:32:14,0
-084.619736,39.102596,0,0.00,4,2.54,277.00,14/9/2009,2:32:15,1
-084.619735,39.102596,0,0.00,4,2.54,277.00,14/9/2009,2:32:16,0
-084.619743,39.102603,0,0.00,4,2.53,277.00,14/9/2009,2:32:17,1
-084.619745,39.102598,0,0.00,4,4.40,276.00,14/9/2009,2:32:18,0
-084.619736,39.102595,0,0.00,4,2.53,277.00,14/9/2009,2:32:19,0
-084.619740,39.102595,0,0.00,4,4.40,276.00,14/9/2009,2:32:20,0
-084.619731,39.102590,0,0.00,4,2.53,276.00,14/9/2009,2:32:21,0
-084.619731,39.102595,0,0.00,4,2.53,276.00,14/9/2009,2:32:22,0
-084.619736,39.102588,0,0.00,4,2.53,276.00,14/9/2009,2:32:23,0
-084.619730,39.102580,0,0.00,4,4.40,275.00,14/9/2009,2:32:24,0
-084.619723,39.102573,0,0.00,4,2.53,275.00,14/9/2009,2:32:25,0
-084.619723,39.102586,0,0.00,4,2.53,277.00,14/9/2009,2:32:26,1
-084.619721,39.102585,0,0.00,4,2.53,277.00,14/9/2009,2:32:27,0
-084.619721,39.102586,0,0.00,4,2.53,277.00,14/9/2009,2:32:28,0
-084.619708,39.102576,0,0.00,4,4.50,276.00,14/9/2009,2:32:29,1
-084.619708,39.102578,0,0.00,4,2.53,277.00,14/9/2009,2:32:30,0
-084.619708,39.102586,0,0.00,4,2.53,277.00,14/9/2009,2:32:31,0
-084.619596,39.102348,0,12.00,4,1.59,285.00,14/9/2009,12:4:38,28
-084.619593,39.102326,0,12.00,4,1.59,289.00,14/9/2009,12:4:39,2
-084.619601,39.102331,0,12.00,4,2.68,284.00,14/9/2009,12:4:40,0
-084.619601,39.102335,0,12.00,4,1.59,282.00,14/9/2009,12:4:41,0
-084.619595,39.102360,0,12.00,4,1.59,281.00,14/9/2009,12:4:42,2
-084.619595,39.102361,0,12.00,4,1.59,282.00,14/9/2009,12:4:43,0
-084.619600,39.102333,0,12.00,4,1.59,283.00,14/9/2009,12:4:44,3
-084.619613,39.102336,0,12.00,4,1.59,283.00,14/9/2009,12:4:45,1
-084.619616,39.102335,0,12.00,4,1.59,283.00,14/9/2009,12:4:46,0
-084.619618,39.102331,0,12.00,4,1.59,283.00,14/9/2009,12:4:47,0
-084.619620,39.102333,0,12.00,4,1.59,283.00,14/9/2009,12:4:48,0
-084.619621,39.102336,0,12.00,4,1.59,283.00,14/9/2009,12:4:49,0
-084.619628,39.102333,0,12.00,4,1.59,282.00,14/9/2009,12:4:50,0
-084.619631,39.102335,0,12.00,4,1.59,281.00,14/9/2009,12:4:51,0
-084.619626,39.102315,0,12.00,4,1.59,282.00,14/9/2009,12:4:52,2
-084.619626,39.102310,0,12.00,7,1.20,282.00,14/9/2009,12:4:53,0
-084.619628,39.102303,0,12.00,7,1.20,282.00,14/9/2009,12:4:54,0
-084.619625,39.102306,0,12.00,8,0.93,281.00,14/9/2009,12:4:55,0
-084.619623,39.102303,0,12.00,8,0.93,282.00,14/9/2009,12:4:56,0
-084.619631,39.102296,0,12.00,8,0.93,283.00,14/9/2009,12:4:58,1
-084.619628,39.102296,0,12.00,8,0.93,282.00,14/9/2009,12:4:59,0
-084.619625,39.102298,0,12.00,8,0.94,282.00,14/9/2009,12:5:0,0
-084.619625,39.102298,0,12.00,8,0.93,282.00,14/9/2009,12:5:1,0
-084.619626,39.102293,0,12.00,8,0.93,282.00,14/9/2009,12:5:2,0
-084.619645,39.102291,0,12.00,8,0.93,283.00,14/9/2009,12:5:3,1
-084.619641,39.102283,0,12.00,8,0.93,286.00,14/9/2009,12:5:4,0
-084.619638,39.102268,0,12.00,8,0.93,289.00,14/9/2009,12:5:5,1
-084.619638,39.102261,0,12.00,8,0.93,290.00,14/9/2009,12:5:6,0
-084.619643,39.102258,0,12.00,8,0.93,291.00,14/9/2009,12:5:7,0
-084.619640,39.102256,0,12.00,8,0.93,292.00,14/9/2009,12:5:8,0
-084.619641,39.102251,0,12.00,8,0.93,293.00,14/9/2009,12:5:9,0
-084.619641,39.102251,0,12.00,8,0.93,293.00,14/9/2009,12:5:10,0
-084.619641,39.102251,0,12.00,8,0.93,293.00,14/9/2009,12:5:11,0
-084.619641,39.102251,0,12.00,8,0.93,293.00,14/9/2009,12:5:12,0
-084.619641,39.102251,0,12.00,8,0.93,293.00,14/9/2009,12:5:13,0
-084.619640,39.102251,0,12.00,8,0.93,293.00,14/9/2009,12:5:14,0
-084.619640,39.102251,0,12.00,8,0.93,293.00,14/9/2009,12:5:15,0
-084.619640,39.102251,0,12.00,9,0.93,293.00,14/9/2009,12:5:16,0
-084.619640,39.102251,0,12.00,9,0.93,293.00,14/9/2009,12:5:17,0
-084.619640,39.102251,0,12.00,9,0.93,293.00,14/9/2009,12:5:18,0
-084.619640,39.102251,0,12.00,8,1.40,293.00,14/9/2009,12:5:19,0
-084.619640,39.102251,0,12.00,8,1.40,293.00,14/9/2009,12:5:20,0
-084.619640,39.102251,0,12.00,8,1.40,293.00,14/9/2009,12:5:21,0
-084.619640,39.102251,0,12.00,9,1.40,293.00,14/9/2009,12:5:22,0
-084.619638,39.102251,0,12.00,8,1.40,293.00,14/9/2009,12:5:23,0
-084.619638,39.102251,0,12.00,9,1.40,293.00,14/9/2009,12:5:24,0
-084.619638,39.102251,0,12.00,8,0.99,293.00,14/9/2009,12:5:25,0
-084.619638,39.102251,0,12.00,9,0.98,293.00,14/9/2009,12:5:26,0
-084.619638,39.102251,0,12.00,9,0.99,293.00,14/9/2009,12:5:27,0
-084.619638,39.102251,0,12.00,9,0.99,293.00,14/9/2009,12:5:28,0
-084.619638,39.102251,0,12.00,9,0.99,293.00,14/9/2009,12:5:29,0
-084.619638,39.102250,0,12.00,9,0.98,293.00,14/9/2009,12:5:30,0
-084.619638,39.102250,0,12.00,9,0.98,293.00,14/9/2009,12:5:31,0
-084.619638,39.102250,0,12.00,8,0.99,293.00,14/9/2009,12:5:32,0
-084.619638,39.102250,0,12.00,9,0.99,293.00,14/9/2009,12:5:33,0
-084.619638,39.102250,0,12.00,9,0.99,293.00,14/9/2009,12:5:34,0
-084.619643,39.102250,0,12.00,9,0.98,292.00,14/9/2009,12:5:35,0
-084.619643,39.102250,0,12.00,9,0.98,292.00,14/9/2009,12:5:36,0
-084.619643,39.102250,0,12.00,9,0.86,292.00,14/9/2009,12:5:37,0
-084.619643,39.102250,0,12.00,9,0.86,292.00,14/9/2009,12:5:38,0
-084.619643,39.102250,0,12.00,9,0.86,292.00,14/9/2009,12:5:39,0
-084.619643,39.102250,0,12.00,9,0.86,292.00,14/9/2009,12:5:40,0
-084.619643,39.102250,0,12.00,9,0.86,292.00,14/9/2009,12:5:41,0
-084.619643,39.102250,0,12.00,9,0.86,292.00,14/9/2009,12:5:42,0
-084.619643,39.102250,0,12.00,9,0.86,292.00,14/9/2009,12:5:43,0
-084.619643,39.102250,0,12.00,8,0.99,292.00,14/9/2009,12:5:44,0
-084.619643,39.102250,0,12.00,8,0.99,292.00,14/9/2009,12:5:45,0
-084.619643,39.102251,0,12.00,8,0.99,292.00,14/9/2009,12:5:46,0
-084.619643,39.102251,0,12.00,8,0.99,292.00,14/9/2009,12:5:47,0
-084.619643,39.102251,0,12.00,8,0.99,291.00,14/9/2009,12:5:48,0
-084.619643,39.102251,0,12.00,8,0.99,291.00,14/9/2009,12:5:49,0
-084.619643,39.102251,0,12.00,8,0.99,291.00,14/9/2009,12:5:50,0
-084.619643,39.102251,0,12.00,8,0.99,291.00,14/9/2009,12:5:51,0
-084.619643,39.102251,0,12.00,8,0.99,291.00,14/9/2009,12:5:52,0
-084.619643,39.102251,0,12.00,8,0.99,291.00,14/9/2009,12:5:53,0
-084.619643,39.102251,0,12.00,9,0.99,291.00,14/9/2009,12:5:54,0
-084.619643,39.102251,0,12.00,9,0.99,291.00,14/9/2009,12:5:55,0
-084.619643,39.102251,0,12.00,9,0.99,291.00,14/9/2009,12:5:56,0
-084.619643,39.102251,0,12.00,9,0.99,291.00,14/9/2009,12:5:57,0
-084.619643,39.102251,0,12.00,8,0.99,291.00,14/9/2009,12:5:58,0
-084.619643,39.102253,0,12.00,8,0.99,291.00,14/9/2009,12:5:59,0
-084.619643,39.102253,0,12.00,8,0.99,291.00,14/9/2009,12:6:0,0
-084.619643,39.102253,0,12.00,8,0.99,291.00,14/9/2009,12:6:1,0
-084.619643,39.102253,0,12.00,8,0.99,291.00,14/9/2009,12:6:2,0
-084.619643,39.102253,0,12.00,8,0.99,291.00,14/9/2009,12:6:3,0
-084.619643,39.102253,0,12.00,8,0.99,291.00,14/9/2009,12:6:4,0
-084.619643,39.102253,0,12.00,8,0.99,291.00,14/9/2009,12:6:5,0
-084.619643,39.102253,0,12.00,9,0.99,291.00,14/9/2009,12:6:6,0
-084.619643,39.102253,0,12.00,9,0.99,291.00,14/9/2009,12:6:7,0
-084.619643,39.102253,0,12.00,9,0.99,291.00,14/9/2009,12:6:8,0
-084.619643,39.102253,0,12.00,9,0.99,291.00,14/9/2009,12:6:9,0
-084.619643,39.102253,0,12.00,9,0.99,291.00,14/9/2009,12:6:10,0
-084.619643,39.102253,0,12.00,9,0.99,291.00,14/9/2009,12:6:11,0
-084.619643,39.102253,0,12.00,9,0.99,291.00,14/9/2009,12:6:12,0
-084.619643,39.102253,0,12.00,9,0.99,291.00,14/9/2009,12:6:13,0
-084.619643,39.102253,0,12.00,9,0.99,291.00,14/9/2009,12:6:14,0
-084.619643,39.102253,0,12.00,9,0.99,291.00,14/9/2009,12:6:15,0
-084.619643,39.102253,0,12.00,9,0.99,291.00,14/9/2009,12:6:16,0
-084.619645,39.102253,0,12.00,9,0.99,291.00,14/9/2009,12:6:17,0
-084.619645,39.102253,0,12.00,9,0.99,291.00,14/9/2009,12:6:18,0
-084.619645,39.102253,0,12.00,9,0.86,291.00,14/9/2009,12:6:19,0
-084.619645,39.102253,0,12.00,9,0.86,291.00,14/9/2009,12:6:20,0
-084.619645,39.102253,0,12.00,9,0.86,291.00,14/9/2009,12:6:21,0
-084.619645,39.102253,0,12.00,9,0.86,291.00,14/9/2009,12:6:22,0
-084.619645,39.102253,0,12.00,9,0.86,291.00,14/9/2009,12:6:23,0
-084.619645,39.102253,0,12.00,9,0.86,291.00,14/9/2009,12:6:24,0
-084.619645,39.102253,0,12.00,9,0.86,291.00,14/9/2009,12:6:25,0
-084.619645,39.102253,0,12.00,9,0.86,291.00,14/9/2009,12:6:26,0
-084.619645,39.102253,0,12.00,9,0.86,291.00,14/9/2009,12:6:27,0
-084.619645,39.102255,0,12.00,9,0.86,291.00,14/9/2009,12:6:28,0
-084.619645,39.102255,0,12.00,9,0.86,291.00,14/9/2009,12:6:29,0
-084.619645,39.102255,0,12.00,9,0.86,291.00,14/9/2009,12:6:30,0
-084.619645,39.102255,0,12.00,9,0.86,291.00,14/9/2009,12:6:31,0
-084.619645,39.102255,0,12.00,9,0.86,291.00,14/9/2009,12:6:32,0
-084.619645,39.102255,0,12.00,9,0.86,291.00,14/9/2009,12:6:33,0
-084.619645,39.102255,0,12.00,9,0.86,291.00,14/9/2009,12:6:34,0
-084.619645,39.102255,0,12.00,9,0.86,291.00,14/9/2009,12:6:35,0
-084.619645,39.102255,0,12.00,9,0.86,291.00,14/9/2009,12:6:36,0
-084.619645,39.102255,0,12.00,9,0.86,291.00,14/9/2009,12:6:37,0
-084.619645,39.102255,0,12.00,9,0.86,291.00,14/9/2009,12:6:38,0
-084.619645,39.102255,0,12.00,8,1.40,291.00,14/9/2009,12:6:39,0
-084.619645,39.102255,0,12.00,9,0.86,291.00,14/9/2009,12:6:40,0
-084.619645,39.102255,0,12.00,9,0.86,291.00,14/9/2009,12:6:41,0
-084.619645,39.102255,0,12.00,9,0.86,291.00,14/9/2009,12:6:42,0
-084.619645,39.102255,0,12.00,9,0.86,291.00,14/9/2009,12:6:43,0
-084.619646,39.102255,0,12.00,9,0.86,290.00,14/9/2009,12:6:44,0
-084.619648,39.102258,0,12.00,9,0.86,290.00,14/9/2009,12:6:45,0
-084.619651,39.102260,0,12.00,9,0.86,289.00,14/9/2009,12:6:46,0
-084.619653,39.102261,0,12.00,9,0.86,289.00,14/9/2009,12:6:47,0
-084.619656,39.102263,0,12.00,9,0.86,289.00,14/9/2009,12:6:48,0
-084.619656,39.102265,0,12.00,9,0.86,288.00,14/9/2009,12:6:49,0
-084.619660,39.102266,0,12.00,9,0.86,288.00,14/9/2009,12:6:50,0
-084.619663,39.102268,0,12.00,9,0.86,287.00,14/9/2009,12:6:51,0
-084.619665,39.102270,0,12.00,9,0.86,287.00,14/9/2009,12:6:52,0
-084.619665,39.102270,0,12.00,9,0.86,286.00,14/9/2009,12:6:53,0
-084.619671,39.102271,0,12.00,8,1.40,285.00,14/9/2009,12:6:54,0
-084.619673,39.102275,0,12.00,8,1.00,285.00,14/9/2009,12:6:55,0
-084.619676,39.102275,0,12.00,9,0.86,284.00,14/9/2009,12:6:56,0
-084.619678,39.102276,0,12.00,9,0.86,284.00,14/9/2009,12:6:57,0
-084.619680,39.102275,0,12.00,9,0.86,283.00,14/9/2009,12:6:58,0
-084.619681,39.102275,0,12.00,9,0.86,283.00,14/9/2009,12:6:59,0
-084.619683,39.102275,0,12.00,9,0.86,282.00,14/9/2009,12:7:0,0
-084.619686,39.102275,0,12.00,9,0.86,281.00,14/9/2009,12:7:1,0
-084.619690,39.102276,0,12.00,9,0.86,281.00,14/9/2009,12:7:2,0
-084.619691,39.102276,0,12.00,9,0.86,281.00,14/9/2009,12:7:3,0
-084.619693,39.102275,0,12.00,9,0.86,280.00,14/9/2009,12:7:4,0
-084.619696,39.102275,0,12.00,8,1.40,279.00,14/9/2009,12:7:5,0
-084.619698,39.102275,0,12.00,9,0.86,279.00,14/9/2009,12:7:6,0
-084.619700,39.102275,0,12.00,9,0.86,279.00,14/9/2009,12:7:7,0
-084.619701,39.102275,0,12.00,9,0.86,278.00,14/9/2009,12:7:8,0
-084.619701,39.102275,0,12.00,9,0.86,278.00,14/9/2009,12:7:9,0
-084.619703,39.102275,0,12.00,9,0.86,278.00,14/9/2009,12:7:10,0
-084.619701,39.102275,0,12.00,9,0.86,277.00,14/9/2009,12:7:11,0
-084.619703,39.102276,0,12.00,9,0.86,277.00,14/9/2009,12:7:12,0
-084.619705,39.102275,0,12.00,9,0.86,276.00,14/9/2009,12:7:13,0
-084.619703,39.102275,0,12.00,9,0.86,276.00,14/9/2009,12:7:14,0
-084.619705,39.102275,0,12.00,9,0.86,275.00,14/9/2009,12:7:15,0
-084.619706,39.102276,0,12.00,9,0.86,275.00,14/9/2009,12:7:16,0
-084.619705,39.102276,0,12.00,9,0.86,275.00,14/9/2009,12:7:17,0
-084.619705,39.102278,0,12.00,9,0.86,274.00,14/9/2009,12:7:18,0
-084.619705,39.102278,0,12.00,9,0.86,274.00,14/9/2009,12:7:19,0
-084.619705,39.102278,0,12.00,9,0.86,273.00,14/9/2009,12:7:20,0
-084.619706,39.102278,0,12.00,9,0.86,273.00,14/9/2009,12:7:21,0
-084.619705,39.102278,0,12.00,9,0.86,273.00,14/9/2009,12:7:22,0
-084.619705,39.102280,0,12.00,9,0.86,272.00,14/9/2009,12:7:23,0
-084.619705,39.102278,0,12.00,9,0.86,272.00,14/9/2009,12:7:24,0
-084.619701,39.102278,0,12.00,9,0.86,272.00,14/9/2009,12:7:25,0
-084.619701,39.102278,0,12.00,9,0.86,272.00,14/9/2009,12:7:26,0
-084.619701,39.102278,0,12.00,9,0.86,272.00,14/9/2009,12:7:27,0
-084.619701,39.102278,0,12.00,9,0.86,272.00,14/9/2009,12:7:28,0
-084.619701,39.102278,0,12.00,9,0.86,272.00,14/9/2009,12:7:29,0
-084.619701,39.102278,0,12.00,9,0.86,272.00,14/9/2009,12:7:30,0
-084.619701,39.102278,0,12.00,9,0.86,272.00,14/9/2009,12:7:31,0
-084.619701,39.102278,0,12.00,9,0.86,272.00,14/9/2009,12:7:32,0
-084.619701,39.102278,0,12.00,9,0.86,272.00,14/9/2009,12:7:33,0
-084.619701,39.102278,0,12.00,9,0.86,272.00,14/9/2009,12:7:34,0
-084.619701,39.102278,0,12.00,9,0.86,272.00,14/9/2009,12:7:35,0
-084.619701,39.102278,0,12.00,9,0.86,272.00,14/9/2009,12:7:36,0
-084.619701,39.102278,0,12.00,9,0.86,272.00,14/9/2009,12:7:37,0
-084.619701,39.102278,0,12.00,9,0.86,272.00,14/9/2009,12:7:38,0
-084.619701,39.102278,0,12.00,9,0.86,272.00,14/9/2009,12:7:39,0
-084.619701,39.102280,0,12.00,9,0.86,272.00,14/9/2009,12:7:40,0
-084.619701,39.102280,0,12.00,9,0.86,272.00,14/9/2009,12:7:41,0
-084.619701,39.102280,0,12.00,9,0.86,272.00,14/9/2009,12:7:42,0
-084.619701,39.102280,0,12.00,9,0.86,272.00,14/9/2009,12:7:43,0
-084.619701,39.102280,0,12.00,9,0.86,271.00,14/9/2009,12:7:44,0
-084.619701,39.102280,0,12.00,9,0.86,271.00,14/9/2009,12:7:45,0
-084.619701,39.102280,0,12.00,9,0.86,271.00,14/9/2009,12:7:46,0
-084.619701,39.102280,0,12.00,9,0.86,271.00,14/9/2009,12:7:47,0
-084.619701,39.102280,0,12.00,9,0.86,271.00,14/9/2009,12:7:48,0
-084.619701,39.102280,0,12.00,9,0.86,271.00,14/9/2009,12:7:49,0
-084.619701,39.102280,0,12.00,9,0.86,271.00,14/9/2009,12:7:50,0
-084.619701,39.102280,0,12.00,9,0.86,271.00,14/9/2009,12:7:51,0
-084.619701,39.102280,0,12.00,9,0.86,271.00,14/9/2009,12:7:52,0
-084.619701,39.102280,0,12.00,9,0.86,271.00,14/9/2009,12:7:53,0
-084.619701,39.102280,0,12.00,9,0.86,271.00,14/9/2009,12:7:54,0
-084.619701,39.102280,0,12.00,9,0.86,271.00,14/9/2009,12:7:55,0
-084.619701,39.102280,0,12.00,9,0.86,271.00,14/9/2009,12:7:56,0
-084.619701,39.102280,0,12.00,9,0.86,271.00,14/9/2009,12:7:57,0
-084.619701,39.102280,0,12.00,9,0.86,271.00,14/9/2009,12:7:58,0
-084.619700,39.102280,0,12.00,9,0.86,271.00,14/9/2009,12:7:59,0
-084.619700,39.102280,0,12.00,9,0.86,271.00,14/9/2009,12:8:0,0
-084.619700,39.102280,0,12.00,9,0.86,271.00,14/9/2009,12:8:1,0
-084.619700,39.102280,0,12.00,9,0.86,271.00,14/9/2009,12:8:2,0
